epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,83.5207,0.48667,0.71937,0.79235,0.97277,0.96909,0.9767,0.88551,0.42773,0.4739,0.78071,8.70577e-05,8.70577e-05,8.70577e-05
43,85.379,0.47271,0.69941,0.79196,0.97262,0.96901,0.97669,0.88056,0.43074,0.4761,0.78077,7.12282e-05,7.12282e-05,7.12282e-05
44,87.2681,0.50614,0.73404,0.79646,0.96944,0.97291,0.97676,0.8784,0.42958,0.47656,0.78024,5.71106e-05,5.71106e-05,5.71106e-05
45,88.7799,0.51191,0.76582,0.79272,0.97165,0.97058,0.97696,0.87999,0.42846,0.47896,0.7798,4.47606e-05,4.47606e-05,4.47606e-05
46,90.0905,0.48797,0.6916,0.79502,0.9707,0.97209,0.97694,0.88031,0.42798,0.48199,0.77955,3.4227e-05,3.4227e-05,3.4227e-05
47,91.5301,0.47525,0.69418,0.78895,0.97002,0.97353,0.97686,0.88246,0.42387,0.47694,0.77947,2.55513e-05,2.55513e-05,2.55513e-05
48,92.7147,0.4826,0.68848,0.79357,0.96998,0.97365,0.97689,0.88248,0.42277,0.4771,0.77935,1.87678e-05,1.87678e-05,1.87678e-05
49,94.0333,0.48148,0.68108,0.79549,0.96972,0.97438,0.97712,0.88601,0.41871,0.47692,0.77916,1.39032e-05,1.39032e-05,1.39032e-05
50,95.2095,0.47237,0.66667,0.79745,0.96965,0.97428,0.97733,0.88724,0.41748,0.47768,0.77898,1.09768e-05,1.09768e-05,1.09768e-05
1,2.45136,0.62988,0.71423,0.81695,0.9463,0.92858,0.97396,0.85683,0.52634,0.62724,0.78674,0.0901,0.0001,0.0001
2,3.63098,0.63011,0.68952,0.81525,0.96305,0.96686,0.97493,0.85952,0.51192,0.554,0.78608,0.0792098,0.000209795,0.000209795
3,5.0518,0.64366,0.64757,0.8138,0.9717,0.95713,0.97656,0.86104,0.53339,0.56317,0.78774,0.0683188,0.000318751,0.000318751
4,6.44064,0.65686,0.66662,0.81504,0.96814,0.96382,0.97585,0.86919,0.4966,0.52947,0.78478,0.0574262,0.00042623,0.00042623
5,7.70406,0.65237,0.65971,0.81183,0.96844,0.95692,0.97474,0.86465,0.4688,0.51168,0.78427,0.0465316,0.000531602,0.000531602
6,9.00828,0.59588,0.59391,0.80362,0.96533,0.96286,0.97461,0.86001,0.49917,0.52051,0.78714,0.0356343,0.000634252,0.000634252
7,10.313,0.60278,0.61435,0.81489,0.9766,0.95703,0.9738,0.87313,0.46893,0.50079,0.78815,0.0247336,0.000733582,0.000733582
8,11.8028,0.56867,0.56766,0.81128,0.9761,0.95519,0.97276,0.8779,0.45964,0.49673,0.78621,0.013829,0.000829014,0.000829014
9,13.1981,0.57375,0.58105,0.80455,0.9802,0.95332,0.97288,0.86478,0.48087,0.50362,0.78876,0.00292,0.000919996,0.000919996
10,14.7577,0.58053,0.56573,0.81361,0.97519,0.97488,0.97389,0.8662,0.50309,0.50376,0.79118,0.000922942,0.000922942,0.000922942
11,16.0623,0.58572,0.56604,0.81154,0.97176,0.97019,0.96963,0.86129,0.51189,0.49563,0.79285,0.000905463,0.000905463,0.000905463
12,17.4028,0.57175,0.5516,0.81055,0.97526,0.9554,0.96947,0.85898,0.48088,0.48492,0.78924,0.000886404,0.000886404,0.000886404
13,18.7393,0.53856,0.5269,0.8062,0.97128,0.95649,0.96928,0.87422,0.45184,0.46797,0.78711,0.000865839,0.000865839,0.000865839
14,20.0844,0.54461,0.535,0.80983,0.96917,0.95687,0.9689,0.86923,0.4431,0.47122,0.78629,0.000843851,0.000843851,0.000843851
15,21.4866,0.58197,0.5365,0.80355,0.97054,0.95294,0.97488,0.86505,0.47941,0.47969,0.78912,0.000820525,0.000820525,0.000820525
16,22.8113,0.55503,0.54552,0.80221,0.98173,0.95711,0.97553,0.87207,0.45682,0.46167,0.78762,0.000795954,0.000795954,0.000795954
17,24.2283,0.56504,0.51259,0.80481,0.97605,0.96256,0.97672,0.88006,0.44952,0.44539,0.78612,0.000770234,0.000770234,0.000770234
18,25.6031,0.5634,0.56596,0.80515,0.98449,0.96584,0.9771,0.88039,0.46059,0.4341,0.78835,0.000743468,0.000743468,0.000743468
19,26.9198,0.54473,0.53417,0.79985,0.98168,0.97063,0.97693,0.87183,0.47799,0.43385,0.78888,0.000715761,0.000715761,0.000715761
20,28.2885,0.54733,0.51761,0.8099,0.98299,0.97306,0.97723,0.87771,0.45894,0.44583,0.78574,0.000687222,0.000687222,0.000687222
21,29.8172,0.54119,0.4914,0.79591,0.98178,0.97084,0.97686,0.87893,0.44225,0.44545,0.78445,0.000657963,0.000657963,0.000657963
22,31.1146,0.61508,0.57096,0.80916,0.97245,0.97854,0.97639,0.8897,0.43145,0.4419,0.78419,0.000628101,0.000628101,0.000628101
23,32.4985,0.55023,0.51396,0.80758,0.97233,0.97569,0.97614,0.88539,0.43401,0.43548,0.78543,0.000597754,0.000597754,0.000597754
24,33.7963,0.51131,0.48298,0.80713,0.97036,0.976,0.97589,0.8758,0.44721,0.43515,0.78607,0.00056704,0.00056704,0.00056704
25,35.0881,0.57429,0.50757,0.80372,0.97099,0.97506,0.97564,0.87269,0.44789,0.43875,0.78722,0.000536081,0.000536081,0.000536081
26,36.4084,0.53961,0.49381,0.80271,0.96996,0.97409,0.97579,0.88277,0.43123,0.4377,0.78564,0.000505,0.000505,0.000505
27,37.7122,0.54851,0.4903,0.79798,0.96554,0.9777,0.97582,0.88005,0.4294,0.43166,0.78542,0.000473919,0.000473919,0.000473919
28,39.0097,0.54148,0.48796,0.80116,0.97505,0.97098,0.97556,0.8823,0.42623,0.42482,0.78521,0.00044296,0.00044296,0.00044296
29,40.2874,0.51021,0.46223,0.80132,0.97324,0.96518,0.97142,0.88168,0.44607,0.42845,0.78589,0.000412246,0.000412246,0.000412246
30,41.7228,0.54573,0.49605,0.80223,0.97491,0.97348,0.97585,0.87772,0.45871,0.43458,0.787,0.000381899,0.000381899,0.000381899
31,43.051,0.52386,0.46317,0.80795,0.97675,0.97415,0.97584,0.88037,0.44941,0.4295,0.78556,0.000352037,0.000352037,0.000352037
32,44.4463,0.5437,0.46909,0.79656,0.97549,0.97642,0.97597,0.88602,0.43448,0.42222,0.7849,0.000322778,0.000322778,0.000322778
33,45.8167,0.52552,0.47239,0.80157,0.97928,0.97463,0.97628,0.89363,0.40312,0.40932,0.78191,0.000294239,0.000294239,0.000294239
34,47.1227,0.55223,0.46701,0.80838,0.97608,0.97701,0.97617,0.89422,0.40472,0.40855,0.78096,0.000266532,0.000266532,0.000266532
35,48.4771,0.54175,0.48011,0.80372,0.98361,0.97319,0.97637,0.89286,0.41339,0.41138,0.78084,0.000239766,0.000239766,0.000239766
36,49.7621,0.53226,0.46561,0.80328,0.98097,0.97467,0.97635,0.88477,0.43129,0.41213,0.78373,0.000214046,0.000214046,0.000214046
37,51.1385,0.50566,0.44234,0.79971,0.98194,0.97474,0.97643,0.88948,0.43268,0.41004,0.78398,0.000189475,0.000189475,0.000189475
38,52.4251,0.50785,0.45367,0.80338,0.98277,0.97456,0.9762,0.88816,0.42655,0.4049,0.78379,0.000166149,0.000166149,0.000166149
39,53.7457,0.49958,0.45968,0.80086,0.98297,0.97652,0.97605,0.88664,0.41367,0.40197,0.78307,0.000144161,0.000144161,0.000144161
40,55.245,0.50881,0.45262,0.80322,0.98303,0.97413,0.97602,0.88907,0.40898,0.39776,0.78241,0.000123596,0.000123596,0.000123596
41,57.7403,0.4617,0.48503,0.78948,0.98368,0.9738,0.97599,0.8927,0.407,0.39487,0.781,0.000104537,0.000104537,0.000104537
42,59.0038,0.45061,0.46056,0.78858,0.98651,0.9759,0.97625,0.89233,0.40938,0.39655,0.78084,8.70577e-05,8.70577e-05,8.70577e-05
43,60.0638,0.44702,0.43855,0.78792,0.9861,0.97582,0.97631,0.89199,0.41076,0.39926,0.78065,7.12282e-05,7.12282e-05,7.12282e-05
44,61.1646,0.47345,0.47503,0.7919,0.9851,0.97638,0.97627,0.89068,0.41693,0.40503,0.78146,5.71106e-05,5.71106e-05,5.71106e-05
45,62.2267,0.48654,0.47843,0.78883,0.98535,0.9772,0.97638,0.88711,0.42053,0.40691,0.78166,4.47606e-05,4.47606e-05,4.47606e-05
46,63.1947,0.45905,0.43641,0.79148,0.98424,0.97785,0.97636,0.88635,0.42126,0.40723,0.78175,3.4227e-05,3.4227e-05,3.4227e-05
47,64.1255,0.44818,0.43905,0.78468,0.9843,0.97829,0.97658,0.89068,0.41959,0.40551,0.78182,2.55513e-05,2.55513e-05,2.55513e-05
48,65.0218,0.4542,0.43789,0.79159,0.98366,0.97856,0.97655,0.89087,0.41709,0.40471,0.78175,1.87678e-05,1.87678e-05,1.87678e-05
49,65.9334,0.45458,0.43564,0.79466,0.9829,0.97853,0.97652,0.89222,0.41591,0.40539,0.78182,1.39032e-05,1.39032e-05,1.39032e-05
